,STATE_FIPS,STATE_NAME,05/24/2020,05/25/2020
0,4,Arizona,12708.0,12708.0
1,6,California,64483.0,64483.0
2,9,Connecticut,6040.0,6040.0
3,10,Delaware,1718.0,1718.0
4,11,District of Columbia,2456.0,2456.0
5,12,Florida,46229.0,46229.0
6,16,Idaho,2383.0,2383.0
7,22,Louisiana,12337.0,12337.0
8,28,Mississippi,160.0,160.0
9,29,Missouri,89.0,89.0
10,35,New Mexico,163.0,163.0
11,36,New York,378.0,378.0
12,38,North Dakota,37.0,37.0
13,41,Oregon,0.0,0.0
14,42,Pennsylvania,146.0,146.0
15,1,Alabama,13024.0,13024.0
16,2,Alaska,1182.0,1182.0
17,23,Maine,2833.0,2833.0
18,24,Maryland,7721.0,7721.0
19,25,Massachusetts,13494.0,13494.0
20,5,Arkansas,7800.0,7800.0
21,44,Rhode Island,73.0,73.0
22,45,South Carolina,132.0,132.0
23,54,West Virginia,67.0,67.0
24,8,Colorado,8298.0,8298.0
25,13,Georgia,19866.0,19866.0
26,15,Hawaii,2198.0,2198.0
27,17,Illinois,27593.0,27593.0
28,18,Indiana,14453.0,14453.0
29,19,Iowa,7369.0,7369.0
30,20,Kansas,7362.0,7362.0
31,21,Kentucky,9963.0,9963.0
32,26,Michigan,21343.0,21343.0
33,27,Minnesota,1841.0,1841.0
